,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
390,SW09346X000,BFN FOODS PTE. LTD.,TERUSAN LODGE ONE,5A,na,0,JALAN PAPAN,619396,-1,5A JALAN PAPAN,"Jalan Papan, Canning Garden, Ipoh Garden, Ipoh, PRK, 30350, Malaysia"
391,SW16814X000,VINAYAK TRADERS PTE. LTD.,na,1,1,33,JALAN PAPAN,619392,-1,1 JALAN PAPAN,"Terusan Recreation Centre, 1, Jalan Papan, Jurong East, Southwest, 619392, Singapore"
392,SW11512N000,KINGS SUPERMARKET PTE. LTD.,CASSIA@PENJURU,23,3,81,PENJURU WALK,608537,-1,23 PENJURU WALK,"Penjuru Walk, Jurong East, Southwest, 608538, Singapore"
393,SW08219P000,AJMAL TRADING GROUP PTE. LTD.,SOON LEE LODGE,31,na,0,SOON LEE ROAD,628087,-1,31 SOON LEE ROAD,"Soon Lee Road, Jurong West, Southwest, 628084, Singapore"
394,SW09426V000,PHANG NEE ENTERPRISE PTE. LTD.,na,2D,1,4,JALAN PAPAN,619415,-1,2D JALAN PAPAN,"Jalan Papan, Canning Garden, Ipoh Garden, Ipoh, PRK, 30350, Malaysia"
395,SW14A33P000,VINAYAK TRADERS PTE. LTD.,PENJURU RECREATION CENTRE,27,1,42621,PENJURU WALK,608538,-1,27 PENJURU WALK,"Penjuru Recreation Centre, 27, Penjuru Walk, Jurong East, Southwest, 608538, Singapore"
396,SW14A05B000,HAJI TRADERS PTE. LTD,#01-18 & #01-21 PENJURU RECREATION CENTRE,27,na,0,PENJURU WALK,608538,-1,27 PENJURU WALK,"Penjuru Recreation Centre, 27, Penjuru Walk, Jurong East, Southwest, 608538, Singapore"
397,SW15051V000,ARCHANA PROVISION STORES PTE. LTD,PENJURU RECREATION CENTRE,27,1,42557,PENJURU WALK,608538,-1,27 PENJURU WALK,"Penjuru Recreation Centre, 27, Penjuru Walk, Jurong East, Southwest, 608538, Singapore"
398,J03027B000,KADER HASNA MARICAN,na,17,1,65,KIAN TECK LANE,627851,-1,17 KIAN TECK LANE,"Kian Teck Lane, Jurong West, Southwest, 627844, Singapore"
399,SW14A98C000,GURU'S MARKETING PTE. LTD.,PENJURU RECREATION CENTRE,27,1,15,PENJURU WALK,608538,-1,27 PENJURU WALK,"Penjuru Recreation Centre, 27, Penjuru Walk, Jurong East, Southwest, 608538, Singapore"
